[21Aug2025 00:18:44.960] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Melosito_Neo has made the advancement [Incendium]
[21Aug2025 00:18:44.996] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Melosito_Neo has made the advancement [We Need to Go Deeper]
[21Aug2025 00:18:46.269] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 2941ms or 58 ticks behind
[21Aug2025 00:18:55.898] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-11, y=51, z=-156} BlockPos{x=-11, y=52, z=-156}
[21Aug2025 00:23:04.997] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-118, y=14, z=-20} BlockPos{x=-124, y=14, z=-20}
[21Aug2025 00:23:05.146] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-118, y=14, z=-20} BlockPos{x=-124, y=16, z=-20}
[21Aug2025 00:23:05.776] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-118, y=14, z=-20} BlockPos{x=-127, y=17, z=-20}
[21Aug2025 00:23:05.993] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-130, y=17, z=-20} BlockPos{x=-130, y=17, z=-19}
[21Aug2025 00:23:08.177] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-139, y=17, z=-19} BlockPos{x=-145, y=18, z=-19}
[21Aug2025 00:23:08.541] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-150, y=18, z=-19} BlockPos{x=-148, y=18, z=-19}
[21Aug2025 00:23:41.993] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-157, y=19, z=-38} BlockPos{x=-156, y=19, z=-40}
[21Aug2025 00:23:42.042] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-157, y=19, z=-38} BlockPos{x=-156, y=19, z=-40}
[21Aug2025 00:23:42.389] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-157, y=19, z=-38} BlockPos{x=-158, y=18, z=-42}
[21Aug2025 00:23:50.170] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-162, y=18, z=-54} BlockPos{x=-160, y=18, z=-54}
[21Aug2025 00:23:50.475] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-156, y=18, z=-54} BlockPos{x=-158, y=18, z=-54}
[21Aug2025 00:23:50.692] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-154, y=18, z=-52} BlockPos{x=-156, y=18, z=-53}
[21Aug2025 00:23:52.792] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-157, y=18, z=-59} BlockPos{x=-163, y=18, z=-60}
[21Aug2025 00:24:51.369] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-93, y=17, z=-66} BlockPos{x=-97, y=17, z=-72}
[21Aug2025 00:24:52.764] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-93, y=17, z=-66} BlockPos{x=-89, y=16, z=-68}
[21Aug2025 00:24:53.751] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-88, y=16, z=-64} BlockPos{x=-89, y=15, z=-64}
[21Aug2025 00:24:55.566] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-88, y=16, z=-64} BlockPos{x=-85, y=13, z=-63}
[21Aug2025 00:24:58.041] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-71, y=17, z=-63} BlockPos{x=-71, y=17, z=-64}
[21Aug2025 00:24:58.177] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-69, y=18, z=-64} BlockPos{x=-69, y=17, z=-64}
[21Aug2025 00:25:19.815] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-65, y=8, z=-79} BlockPos{x=-89, y=15, z=-80}
[21Aug2025 00:25:19.859] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-65, y=8, z=-79} BlockPos{x=-89, y=15, z=-80}
[21Aug2025 00:25:27.398] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-111, y=15, z=-79} BlockPos{x=-111, y=15, z=-78}
[21Aug2025 00:25:27.974] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-112, y=15, z=-75} BlockPos{x=-114, y=15, z=-78}
[21Aug2025 00:25:28.177] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-112, y=15, z=-75} BlockPos{x=-113, y=15, z=-81}
[21Aug2025 00:25:31.772] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-122, y=15, z=-83} BlockPos{x=-121, y=14, z=-83}
[21Aug2025 00:28:41.949] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-102, y=63, z=-1047} BlockPos{x=-64, y=71, z=-1119}
[21Aug2025 00:28:41.995] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-64, y=70, z=-1119} BlockPos{x=-64, y=71, z=-1119}
